Solution for problem: iis-pima-cov
Total time for conflict search: 0
Total amount of conflicting groups: 0Solution is feasible.

ObjectiveFunction value: 199.0

Number of moves evaluated: 11353875; Number of moves done: 0
Values of de decision variables:
x13, value=1
x16, value=1
x19, value=1
x21, value=1
x24, value=1
x26, value=1
x29, value=1
x33, value=1
x36, value=1
x41, value=1
x42, value=1
x46, value=1
x601, value=1
x720, value=1
x714, value=1
x58, value=1
x57, value=1
x710, value=1
x707, value=1
x705, value=1
x703, value=1
x64, value=1
x701, value=1
x501, value=1
x622, value=1
x741, value=1
x72, value=1
x618, value=1
x615, value=1
x613, value=1
x79, value=1
x732, value=1
x731, value=1
x609, value=1
x729, value=1
x83, value=1
x82, value=1
x606, value=1
x84, value=1
x725, value=1
x87, value=1
x603, value=1
x724, value=1
x86, value=1
x602, value=1
x88, value=1
x645, value=1
x644, value=1
x400, value=1
x640, value=1
x90, value=1
x91, value=1
x94, value=1
x637, value=1
x636, value=1
x757, value=1
x514, value=1
x756, value=1
x631, value=1
x750, value=1
x628, value=1
x748, value=1
x504, value=1
x625, value=1
x667, value=1
x424, value=1
x302, value=1
x423, value=1
x665, value=1
x542, value=1
x663, value=1
x540, value=1
x418, value=1
x539, value=1
x657, value=1
x656, value=1
x651, value=1
x650, value=1
x408, value=1
x649, value=1
x648, value=1
x405, value=1
x647, value=1
x646, value=1
x767, value=1
x681, value=1
x204, value=1
x444, value=1
x201, value=1
x564, value=1
x200, value=1
x442, value=1
x441, value=1
x562, value=1
x561, value=1
x318, value=1
x316, value=1
x558, value=1
x315, value=1
x436, value=1
x677, value=1
x433, value=1
x675, value=1
x431, value=1
x309, value=1
x308, value=1
x307, value=1
x669, value=1
x668, value=1
x460, value=1
x581, value=1
x106, value=1
x469, value=1
x226, value=1
x347, value=1
x225, value=1
x103, value=1
x224, value=1
x101, value=1
x464, value=1
x585, value=1
x100, value=1
x221, value=1
x341, value=1
x217, value=1
x692, value=1
x570, value=1
x690, value=1
x215, value=1
x699, value=1
x697, value=1
x696, value=1
x453, value=1
x573, value=1
x451, value=1
x329, value=1
x328, value=1
x241, value=1
x240, value=1
x128, value=1
x249, value=1
x489, value=1
x246, value=1
x367, value=1
x488, value=1
x245, value=1
x366, value=1
x487, value=1
x244, value=1
x364, value=1
x484, value=1
x239, value=1
x470, value=1
x591, value=1
x590, value=1
x359, value=1
x115, value=1
x355, value=1
x474, value=1
x595, value=1
x473, value=1
x1, value=1
x5, value=1
x8, value=1
x262, value=1
x261, value=1
x145, value=1
x265, value=1
x386, value=1
x130, value=1
x250, value=1
x135, value=1
x256, value=1
x497, value=1
x374, value=1
x495, value=1
x163, value=1
x161, value=1
x281, value=1
x288, value=1
x286, value=1
x394, value=1
x270, value=1
x278, value=1
x399, value=1
x155, value=1
x396, value=1
x183, value=1
x189, value=1
x296, value=1
x174, value=1
x172, value=1
x292, value=1
x170, value=1
x291, value=1
x299, value=1
x297, value=1
x195, value=1
x199, value=1
