Solution for problem: iis-pima-cov
Total time for conflict search: 0
Total amount of conflicting groups: 0Solution is feasible.

ObjectiveFunction value: 179.0

Number of moves evaluated: 19498553; Number of moves done: 0
Values of de decision variables:
x700, value=1
x30, value=1
x31, value=1
x36, value=1
x42, value=1
x601, value=1
x600, value=1
x720, value=1
x717, value=1
x714, value=1
x712, value=1
x707, value=1
x60, value=1
x702, value=1
x623, value=1
x500, value=1
x621, value=1
x620, value=1
x72, value=1
x71, value=1
x738, value=1
x74, value=1
x73, value=1
x613, value=1
x78, value=1
x77, value=1
x612, value=1
x732, value=1
x729, value=1
x82, value=1
x726, value=1
x725, value=1
x87, value=1
x603, value=1
x724, value=1
x602, value=1
x645, value=1
x766, value=1
x523, value=1
x644, value=1
x764, value=1
x400, value=1
x760, value=1
x517, value=1
x637, value=1
x636, value=1
x757, value=1
x756, value=1
x511, value=1
x631, value=1
x752, value=1
x751, value=1
x503, value=1
x546, value=1
x667, value=1
x423, value=1
x663, value=1
x418, value=1
x539, value=1
x417, value=1
x538, value=1
x659, value=1
x658, value=1
x412, value=1
x411, value=1
x651, value=1
x528, value=1
x648, value=1
x767, value=1
x205, value=1
x323, value=1
x686, value=1
x321, value=1
x318, value=1
x439, value=1
x679, value=1
x670, value=1
x435, value=1
x554, value=1
x553, value=1
x674, value=1
x431, value=1
x671, value=1
x309, value=1
x307, value=1
x306, value=1
x305, value=1
x426, value=1
x668, value=1
x461, value=1
x460, value=1
x581, value=1
x580, value=1
x227, value=1
x226, value=1
x589, value=1
x104, value=1
x345, value=1
x223, value=1
x465, value=1
x586, value=1
x101, value=1
x463, value=1
x462, value=1
x583, value=1
x218, value=1
x339, value=1
x337, value=1
x457, value=1
x214, value=1
x697, value=1
x696, value=1
x210, value=1
x693, value=1
x328, value=1
x569, value=1
x481, value=1
x128, value=1
x248, value=1
x247, value=1
x245, value=1
x123, value=1
x365, value=1
x243, value=1
x472, value=1
x470, value=1
x591, value=1
x359, value=1
x237, value=1
x479, value=1
x115, value=1
x236, value=1
x477, value=1
x597, value=1
x475, value=1
x231, value=1
x352, value=1
x349, value=1
x6, value=1
x382, value=1
x149, value=1
x267, value=1
x388, value=1
x385, value=1
x490, value=1
x377, value=1
x498, value=1
x134, value=1
x375, value=1
x496, value=1
x495, value=1
x284, value=1
x283, value=1
x161, value=1
x282, value=1
x160, value=1
x169, value=1
x288, value=1
x287, value=1
x286, value=1
x393, value=1
x159, value=1
x279, value=1
x157, value=1
x278, value=1
x399, value=1
x155, value=1
x186, value=1
x185, value=1
x184, value=1
x183, value=1
x181, value=1
x187, value=1
x174, value=1
x173, value=1
x178, value=1
x195, value=1
x194, value=1
x199, value=1
